cytoband	10q26.3	9p21.3	1p36.23	11p15.5	3q29	6q26	8q24.3	10q23.31	17q11.2	4q35.2	13q14.3	13q14.2	4q34.3	6p25.3	13q34	19q13.32	19q13.43	2q37.1	2q37.3	1q42.12	9p24.2	10p11.23	14q31.1	21q21.1	1p32.3	1q44	5q15	2q36.3	7p22.3	
							MIR2053										SYDE1											CTDSP1	JAZF1	
							MIR2052										RHPN2											NLRC4	PPP1R35	
							MIR1208										GALP											MPP4	GPC2	
							MIR548H4										SIGLEC10											SLC5A7	BRAT1	
							MIR4287										SIGLEC12											NIF3L1	SDK1	
							MIR548V										ZNF628											AGBL5	FOXK1	
							MIR3148										KIR3DX1											LDAH	MMD2	
							MIR4288										ZNF30											THADA	LOC221946	
							MIR3149										ZNF551											PCGEM1	DAGLB	
							MIR3150A										CEACAM21											RBKS	CCZ1B	
							MIR4286										ZNF616											GAL3ST2	THSD7A	
							MIR3151										ZNF766											TMBIM1	VSTM2A	
							BAALC-AS1										CCDC97											IFIH1	DKFZp434L192	
							LOC100500773										EXOC3L2											OSGEPL1	TMED4	
							MIR3926-2										ZNF468											ATL2	DKFZP586I1420	
							MIR3686										ZNF160											ABCG5	MTURN	
							MIR3622A										CTU1											ABCG8	PRR15	
							MIR548AA1										SAMD1											RAB17	SRRM3	
							MIR3926-1										DCAF15											RNF25	RSBN1L	
							MIR3622B										GADD45GIP1											HS1BP3	KIAA1324L	
							MIR3150B										ZNF835											GMCL1	LRWD1	
							MIR3610										YIF1B											TTC31	FAM185A	
							LINC01602										ZNF799											ANAPC1	FBXL13	
							LINC01301										C19orf52											COPS7B	NAPEPLD	
							LINC00967										ZNF625											RMND5A	ATXN7L1	
							RRS1-AS1										ZNF700											FNDC4	CDHR3	
							LINC01592										ZNF439											MARCH7	TMEM130	
							LINC01603										ZNF486											NABP1	FERD3L	
							OTUD6B-AS1										ZNF682											PAPOLG	RPL23P8	
							AZIN1-AS1										FAAP24											MRPS9	NYAP1	
							LOC100506990										TDRD12											MRPS5	SLC29A4	
							CCAT1										ZNF765											REEP1	RSPH10B	
							LOC100507071										NLRP12											RAPH1	CCDC129	
							ASAP1-IT2										MYADM											CDK15	ZNRF2	
							LOC100507156										ZNF845											TMEM237	SEMA3D	
							MINCR										ZNF461											NBEAL1	CNPY4	
							SMIM18										ZNF585B											CFLAR-AS1	POLR2J2	
							LINC01605										TIMM50											MRPL44	HEPACAM2	
							LOC100507464										SHKBP1											SOWAHC	UBN2	
							LINC00968										DMKN											PLEKHA3	LINC00957	
							LINC01606										ZNF561											TRAK2	MBLAC1	
							C8orf44-SGK3										OLFM2											BOLL	TMEM196	
							ZHX1-C8orf76										CCDC114											COLEC11	STEAP1B	
							MIR4469										HAUS8											PDCL3	RPS2P32	
							MIR378D2										MVB12A											TRPM8	SUN3	
							MIR4662A										LOC93429											ATG9A	FAM133B	
							MIR4661										ARMC6											C2orf49	TAS2R39	
							MIR4662B										ACPT											MLPH	TAS2R40	
							MIR4663										CGB5											TMEM185B	TAS2R41	
							MIR4472-1										CGB7											FAM134A	NSUN5P2	
							MIR4664										LRRC4B											CENPO	TFAMP1	
							MIR4660										ZNF101											OR7E91P	STEAP2	
							MIR4471										LENG9											GLB1L	POM121L12	
							MIR4470										CGB8											C2orf47	VSTM2A-OT1	
							C8orf37-AS1										GNG8											SPAG16	CNPY1	
							PCAT1										PPP1R14A											CHPF	LOC285889	
							MIR5680										EGLN2											SAP130	LINC00174	
							MIR5692A2										BIRC8											GALNT14	C7orf71	
							MIR5194										FAM71E1											SCRN3	HOXA-AS2	
							MIR5708										RDH13											CCDC121	INHBA-AS1	
							MIR5681A										FDX1L											FASTKD1	SPDYE1	
							MIR5692A1										NACC1											SMC6	SNHG15	
							MIR548AO										PTH2											GTDC1	WEE2-AS1	
							MIR5681B										MISP3											CLIP4	EPHA1-AS1	
							NRG1-IT1										ZNF257											IQCA1	TCAF2	
							LINC00536										ZIM3											CARF	ZNF775	
							FSBP										SIGLEC11											TTC21B	LINC00996	
							LZTS1-AS1										CGB1											CAMKMT	ATG9B	
							LINC00534										CGB2											METTL8	DLX6-AS1	
							NRG1-IT3										PGLYRP2											GEMIN6	ZNF789	
							CA3-AS1										LMTK3											NHEJ1	SLC26A4-AS1	
							LOC101241902										LENG8											FAM124B	LSMEM1	
							LINC00681										CCDC124											TM4SF20	TPI1P2	
							YTHDF3-AS1										FBXO17											CYBRD1	FLJ40288	
							CCAT2										KIR3DL3											C2orf54	MESTIT1	
							CASC9										ARHGAP33											NOL10	ST7-OT4	
							PRNCR1										RASGRP4											ANKRD53	TAS2R60	
							LOC101926892										NXNL1											CSRNP3	BLACE	
							LOC101926908										CCDC151											PGAP1	ZNF680	
							RDH10-AS1										ZNF653											LRRTM4	UNCX	
							LINC01111										ZNF526											DCAF17	COL28A1	
							PKIA-AS1										ZNF837											TUBA4B	ABCB5	
							LOC101927040										CIB3											MZT2B	FAM221A	
							LOC101927066										RLN3											MAP3K19	FAM183BP	
							LINC01607										CLDND2											UXS1	CTAGE6	
							LOC101927141										ZNF816											FBXO11	TSPAN33	
							UBR5-AS1										ZNF543											ARMC9	AGBL3	
							LINC01608										CEACAM20											COQ10B	SEPT14	
							LINC01609										RAVER1											SLC35F5	MACC1	
							LOC101927513										COX6B2											EFHD1	OR6V1	
							LOC101927543										CALR3											WDCP	OR2A12	
							LOC101927588										OSCAR											SPHKAP	OR2A1	
							RNF139-AS1										ZNF813											WNT10A	GNAT3	
							LOC101927657										ZNF441											SLC19A3	MOGAT3	
							LINC00824										ZNF491											TSGA10	FAM71F2	
							LOC101927798										ZNF440											THSD7B	STRA8	
							LOC101927822										SWSAP1											THUMPD2	KLRG2	
							LOC101927845										CCDC159											TMEM177	ZNF713	
							LOC101927915										JOSD2											LNPK	LINC00265	
							LOC101928087										IZUMO2											ILKAP	WDR86	
							LOC101928160										CPT1C											FAM49A	GJC3	
							LOC101928902										ALDH16A1											LMAN2L	DPY19L2P2	
							LOC101929066										NTN5											LBH	LOC349160	
							LOC101929128										NLRP13											TMEM163	GATS	
							LOC101929172										NLRP8											ITM2C	GPR141	
							LINCR-0001										NLRP5											TCF7L1	FKBP9P1	
							LOC101929217										ZNF787											INO80B	GSTK1	
							LOC101929229										ZNF573											AMMECR1L	VWC2	
							LOC101929237										WDR88											CDCA7	TRIM73	
							LOC101929268										EID2B											WDR54	NAT16	
							LOC101929269										IRGQ											ZRANB3	SLC26A5	
							LOC101929294										ZNF428											RAB6C	LHFPL3	
							LOC101929315										LRRC25											WDR75	KCP	
							LOC101929341										OR1I1											FAM161A	TRIM74	
							EXTL3-AS1										WTIP											EVA1A	LINC-PINT	
							LOC101929415										ZNF792											ANTXR1	RNF148	
							LOC101929450										NR2C2AP											POLR1B	NPSR1	
							LOC101929470										HSPB6											ELMOD3	RBAKDN	
							LOC101929488										CCDC105											RGPD5	NUPR2	
							LOC101929528										CYP4F22											C2orf16	GTF2IRD2B	
							LOC101929550										RINL											RHBDD1	MGC72080	
							LOC101929622										FBXO27											CHCHD5	LAMTOR4	
							LOC101929709										C19orf47											YIPF4	FEZF1	
							LOC101929897										LINC00661											PRADC1	FAM180A	
							LINC01030										OR10H4											C2orf88	LOC389602	
							MIR6841										ANKLE1											ING5	OR2A25	
							MIR6842										ZFP28											CCDC115	ELFN1	
							MIR6843										VSIG10L											NIFK	AGMO	
							MIR6846										C19orf84											C2orf40	IQCA1L	
							MIR6847										SPACA6											ZNF512	GRID2IP	
							MIR6848										ZNF480											ZC3H8	OR2A5	
							MIR6876										ZNF534											KIAA1841	RPL13AP17	
							MIR486-2										ZNF578											ST6GAL2	ZNF815P	
							MIR7641-2										ERVV-1											IL1F10	LOC401312	
							MIR7112										SMIM17											DPY30	LOC401320	
							MIR6850										C19orf18											MCEE	LINC00997	
							MIR548AZ										ZNF418											LOXL3	LOC401324	
							MIR6844										ZNF417											ABHD1	RASA4CP	
							MIR6893										ZNF548											PCGF1	C7orf65	
							MIR6845										PPM1N											DDX11L2	LINC01446	
							MIR6849										KLC3											MFSD9	LOC401357	
							MIR7705										IGSF23											PLCD4	LRRD1	
							MIR7848										LYPD4											SFT2D3	C7orf76	
							MIR8084										ILF3-AS1											CCDC142	LINC00998	
							LOC102467222										ZNF560											ZNF514	POT1-AS1	
							LOC102723322										TMEM190											FAM136A	PRRT4	
							ZFPM2-AS1										HIPK4											TMEM87B	RAB19	
							LOC102723701										TMC4											ATOH8	OR2A7	
							LOC102723729										TPM3P9											LINC01101	OR2A20P	
							LOC102724612										ZNF524											MGC16025	ATP6V0E2-AS1	
							LOC102724623										ZNF784											TANC1	LINC01000	
							LOC102724708										ZNF563											EPT1	KPNA7	
							LOC102724710										SPC24											LBX2	C7orf61	
							LOC102724804										CCDC155											PNPT1	GRIFIN	
							LOC102724874										DACT3											KCNH7	UFSP1	
							LOC102725080										SIX5											FER1L5	NPSR1-AS1	
							CASC21										IGFL2											MCFD2	MIR106B	
							CASC19										ZNF420											ATP6V1E2	MIR129-1	
							PCAT2										ZNF565											FAM95A	MIR148A	
							LINC01419										NLRP4											CCDC74A	MIR153-2	
							LINC01288										ZNF542P											LOC90784	MIR182	
							LOC104054148										ZNF582											DHX57	MIR183	
							LINC01151										ZNF583											RAPGEF4-AS1	MIR25	
							MAFA-AS1										FAM98C											SESTD1	MIR29A	
							LOC105375650										CAPN12											CCDC74B	MIR29B1	
							LOC105375713										DPY19L3											PKDCC	MIR93	
							LOC105375734										LGALS16											ANKRD44	MIR96	
							LOC105375744										TTC9B											RSAD2	LOC407835	
							LOC105375773										ZNF599											ZNF804A	RNF216P1	
							LOC105375787										FAM187B											TTC30A	PMS2CL	
							LOC105375800										CILP2											DAPL1	LOC441204	
							LOC105375843										PROSER3											CAPN13	ZNRF2P1	
							LOC105379393										LINC00906											TMEM169	RP9P	
							SNORA99										CDC42EP5											DNER	ZNF716	
																	LINC00662											DRC1	LOC441242	
																	ZNF98											IMP4	TYW1B	
																	ZNF738											HNRNPLL	SPDYE7P	
																	ZNF714											MARS2	DTX2P1-UPK3BP1-PMS2P11	
																	ZNF681											B3GNT7	SPDYE3	
																	LINC00905											NT5C1B	SPDYE2	
																	ZNF569											NEURL3	AKR1B15	
																	ZNF570											SP140L	CTAGE15	
																	ZNF836											LOC93463	OR2A9P	
																	ZNF610											SFXN5	HRAT92	
																	ZNF600											ORMDL1	ZNF727	
																	ZNF320											LIMS3	OR2A2	
																	ZNF497											LINC00152	LOC442497	
																	ZNF550											TUBA3E	DPY19L2P4	
																	ZNF296											CFAP36	DPY19L2P3	
																	DEDD2											TEX261	STAG3L3	
																	ZNF846											TUBA3D	STAG3L2	
																	ZNF579											STK11IP	SPDYE5	
																	ZNF791											FMNL2	EIF3IP1	
																	ZNF564											CCDC85A	LMOD2	
																	ZNF709											GALNT13	MIR335	
																	ZNF433											KLHL29	MIR339	
																	ZNF114											OSBPL6	MIR196B	
																	ZNF567											NOSTRIN	ARHGEF35	
																	ZNF383											DIRC1	TARP	
																	ZNF781											WDR92	GIMAP6	
																	EID2											MOGAT1	GS1-124K5.11	
																	ZNF780B											LYPD1	WEE2	
																	LGI4											MRPL53	LOC541472	
																	SYNE4											AGAP1	LOC541473	
																	ZNF676											TWIST2	POLR2J3	
																	ZNF100											PARD3B	DPY19L2P1	
																	ZNF540											RPL23AP7	MIR489	
																	SSBP4											PPP1R21	MIR490	
																	ZNF525											TRABD2A	CYP51A1-AS1	
																	ZNF431											TMEM150A	FDPSP2	
																	SPACA4											NUP35	LOC641746	
																	ZNF675											XIRP2	SEPT7P2	
																	ZNF627											TYW5	GUSBP10	
																	DAND5											NMS	CCT6P3	
																	ZNF585A											LYG1	CCT6P1	
																	NLRP7											MITD1	ZNF862	
																	GGN											DIS3L2	ZNF733P	
																	CADM4											CMPK2	WIPF3	
																	THAP8											MBOAT2	INTS4P2	
																	U2AF1L4											CNTNAP5	LOC644794	
																	ZNF626											TMEM18	MNX1-AS1	
																	FAM129C											FBLN7	LHFPL3-AS1	
																	ADM5											NEU4	ZNF890P	
																	ZNF584											RBM45	AZGP1P1	
																	ZSCAN4											C2orf73	LOC646762	
																	NLRP11											TRIM43	C7orf73	
																	TMEM86B											BBS5	YWHAEP1	
																	INAFM1											CCDC173	LOC650226	
																	C19orf38											ACMSD	NCF1	
																	ZNF549											ICA1L	TCAF2P1	
																	SYCE2											FAM168B	ACTR3C	
																	NAPSB											CIB4	OCM	
																	IL4I1											REG3G	SNORA5A	
																	IFNL2											RFTN2	NCF1B	
																	IFNL3											CLHC1	NCF1C	
																	IFNL1											PLEKHH2	SNORA5B	
																	SSC5D											AP1S3	SNORA5C	
																	ZNF547											C2orf76	SNORA9	
																	ZIK1											SGPP2	SNORA14A	
																	ZNF776											ACVR1C	SNORA15	
																	ZSCAN1											OSR1	SNORA22	
																	ZNF780A											TTC32	SNORD93	
																	C19orf54											UBR3	MIR550A1	
																	PRR19											KCTD18	MIR550A2	
																	TMEM145											ALS2CR12	MIR589	
																	CXCL17											ZNF513	MIR590	
																	LOC284344											SPATA3	MIR591	
																	ZNF575											LYPD6	MIR592	
																	LYPD5											LYPD6B	MIR593	
																	ZNF283											GALM	MIR595	
																	PPP1R37											TMEM198	LHFPL3-AS2	
																	NKPD1											ZFAND2B	MIR653	
																	TPRX1											TMEM178A	ARHGEF34P	
																	MAMSTR											CPO	SPDYE8P	
																	IZUMO1											MDH1B	LOC728743	
																	EMC10											C2orf50	ZNF736	
																	MGC45922											PQLC3	GTF2IRD1P1	
																	KLK9											TMEM182	GATSL2	
																	SIGLEC17P											AHSA2	SPDYE6	
																	SIGLECL1											FBXO36	UMAD1	
																	ZNF615											MTERF4	ISPD	
																	ZNF841											CCDC148	TMEM229A	
																	LOC284379											M1AP	ZNF735	
																	ZNF561-AS1											MYO3B	LOC730338	
																	ZNF763											TMEM37	LUZP6	
																	ZNF844											UBE2F	MIR671	
																	LOC284395											DUSP19	TSL	
																	SCGB2B2											TTL	GTF2IP4	
																	WDR62											CKAP2L	LOC100101148	
																	ZFP82											CBWD2	POM121C	
																	ZNF790-AS1											TEKT4	PMS2P7	
																	LOC284412											TISP43	HECW1-IT1	
																	VSTM1											SATB2-AS1	JAZF1-AS1	
																	TMEM150B											LINC01102	HTR5A-AS1	
																	FAM71E2											SMYD1	LOC100128317	
																	OR10H5											LINC01104	CTAGE4	
																	NWD1											C2orf15	LINC01003	
																	SLC25A42											LINC01105	LOC100128885	
																	LINC00663											OTOS	LOC100129148	
																	ZNF493											COPS9	RPL19P12	
																	LOC284454											OR6B3	DDC-AS1	
																	HKR1											COMMD1	DPY19L1P1	
																	VN1R2											PROM2	LOC100129603	
																	VN1R4											ANKAR	PCOLCE-AS1	
																	NLRP9											FBXO41	LOC100130673	
																	ZNF181											TTC30B	LOC100130705	
																	ZNF260											LINC00342	EFCAB10	
																	ZNF546											GPAT2	LOC100130849	
																	MYPOP											ITPRIPL1	LOC100130880	
																	NANOS2											LOC150776	C7orf72	
																	VSTM2B											WTH3DI	ZNF316	
																	ZNF850											FAM117B	WDR86-AS1	
																	NCCRP1											TCF23	LOC100131257	
																	SYCN											LOC150935	PAXIP1-AS2	
																	LEUTX											GAREM2	PMS2P9	
																	ZNF404											PUS10	LOC100133091	
																	ZNF284											PKI55	HOXA-AS3	
																	C19orf81											LINC00309	JHDM1D-AS1	
																	ZNF677											LINC01106	NDUFB2-AS1	
																	RFPL4A											SEPT10	UPK3BL	
																	ZSCAN5B											KANSL1L	CTAGE8	
																	ZSCAN22											PLB1	KMT2E-AS1	
																	NANOS3											ZSWIM2	LINC01004	
																	PALM3											LOC151121	LOC100240728	
																	SELV											ZNF385B	ZNRF2P2	
																	ZNF530											LINC01107	RASA4B	
																	DNAAF3											LOC151174	SMKR1	
																	ZNF429											ERFE	LOC100287704	
																	ZNF233											ARL6IP6	LOC100287834	
																	LILRA5											METTL21A	WI2-2373I1.2	
																	TMEM205											CCNYL1	MOXD2P	
																	YJEFN3											KLHL23	GS1-124K5.4	
																	LOC374890											SULT1C2P1	GS1-259H13.2	
																	SBSN											PPP1R1C	LOC100289561	
																	ZNF829											SGO2	ZNF783	
																	ZNF568											ALS2CR11	MIR1200	
																	B3GNT8											SLC38A11	MIR1183	
																	IGFL1											CCDC140	MIR1302-6	
																	C19orf68											SLC23A3	MIR548N	
																	ZNF773											LINC00608	MIR1285-1	
																	SLC27A1											GPBAR1	ANKRD61	
																	ZNF582-AS1											FAHD2B	MIR548O	
																	C3P1											MYADML	MIR548F4	
																	ZNF788											FAM84A	HOTTIP	
																	CLEC17A											RMDN2	SAP25	
																	CYP4F24P											GDF7	MIR4283-2	
																	ZNF728											SLC16A14	MIR4285	
																	RPSAP58											LOC151475	MIR4283-1	
																	RGS9BP											LINC00471	MIR3147	
																	KRTDAP											LOC151484	MIR4284	
																	ZNF790											MSL3P1	MIR3146	
																	CEACAM22P											ASPRV1	MTRNR2L6	
																	CEACAM16											WDSUB1	MIR3654	
																	BLOC1S3											UPP2	MIR3609	
																	BHMG1											LBX2-AS1	MIR3943	
																	IGFL3											GPR155	MIR550B2	
																	ZNF808											DAW1	MIR3907	
																	ZNF888											LONRF2	MIR3914-1	
																	ZNF761											CCDC138	MIR550B1	
																	TMEM238											ADGRF3	MIR3683	
																	ZNF470											C2orf57	MIR3666	
																	ZNF749											OXER1	MIR3914-2	
																	ZNF324B											FAM179A	PRKAG2-AS1	
																	OR7A10											FAM171B	APTR	
																	NUDT19											C1QL2	MAGI2-AS3	
																	ZNF793											UBXN2A	LOC100505921	
																	ACP7											CLEC4F	LOC100505938	
																	PINLYP											DQX1	ISPD-AS1	
																	ZNF818P											KCNG3	LRRC72	
																	ZNF805											CYS1	LINC01005	
																	SPRED3											FOXD4L1	LOC100506098	
																	ZNF321P											CFAP221	LOC100506136	
																	LINC00664											VWA3B	LOC100506178	
																	LOC400684											CREG2	LOC100506302	
																	LOC400685											ALMS1P1	HOTAIRM1	
																	LGALS17A											TET3	LINC01006	
																	LOC400706											GKN2	DOCK4-AS1	
																	SIGLEC16											TEX37	LOC100506497	
																	LOC400710											ANKRD23	LINC01176	
																	ZNF880											APLF	LINC01007	
																	ZNF772											PIKFYVE	LOC100506585	
																	ZNF833P											KRTCAP3	LOC100506682	
																	IGLON5											LOC200726	LOC100506725	
																	HAPLN4											TMEM17	TRG-AS1	
																	MIRLET7E											SPRED2	LOC100506860	
																	MIR125A											TIGD1	MKLN1-AS	
																	MIR150											LOC200772	LOC100506895	
																	MIR181C											AMER3	LOC100506937	
																	MIR199A1											LINC00116	TMEM178B	
																	MIR23A											C2orf69	LOC100507468	
																	MIR24-2											HNRNPA3	EGFR-AS1	
																	MIR27A											SPDYA	LOC100507507	
																	MIR99B											ATP6V1C2	LOC100507642	
																	ZNF506											RNASEH1	ATP5J2-PTCD1	
																	GOLGA2P9											LCLAT1	INMT-FAM188B	
																	ZNF724											GPATCH11	GIMAP1-GIMAP5	
																	PSG8											CERS6	RBAK-RBAKDN	
																	TARM1											METAP1D	HOXA10-HOXA9	
																	MIR330											NIFK-AS1	URGCP-MRPS24	
																	MIR371A											LYG2	MIR4648	
																	MIR372											CFAP65	MIR4653	
																	MIR373											C2orf72	MIR4655	
																	IGFL4											SH2D6	MIR4652	
																	A1BG-AS1											LOC284950	MIR4468	
																	DPRX											CCDC150	MIR4651	
																	DUXA											RNF149	MIR4650-1	
																	ASPDH											LINC01114	MIR4649	
																	MIR181D											LOC285000	MIR550A3	
																	MIR512-1											FAM150B	MIR4467	
																	MIR512-2											CCDC141	MIR4657	
																	MIR498											STARD7-AS1	MIR4658	
																	MIR520E											LOC285043	MIR4656	
																	MIR515-1											LINC00486	LOC100630923	
																	MIR519E											C2orf61	LOC100653233	
																	MIR520F											LOC285074	POU6F2-AS2	
																	MIR515-2											LINC01305	KLHL7-AS1	
																	MIR519C											RTP5	MIR5692C2	
																	MIR520A											LOC285095	MIR5707	
																	MIR526B											MED15P9	MIR5692A2	
																	MIR519B											AHCTF1P1	MIR5692A1	
																	MIR525											DNAJC5G	MIR5090	
																	MIR523											ERICH2	ELMO1-AS1	
																	MIR518F											IAH1	POU6F2-AS1	
																	MIR520B											FLJ33534	CYP3A7-CYP3A51P	
																	MIR518B											CYP1B1-AS1	MAGI2-AS2	
																	MIR526A1											FAM126B	MACC1-AS1	
																	MIR520C											UNC80	STEAP2-AS1	
																	MIR518C											RUFY4	AOAH-IT1	
																	MIR524											PLGLA	HOXA10-AS	
																	MIR517A											RGPD4	RNF216-IT1	
																	MIR519D											DUSP28	LOC100996249	
																	MIR521-2											STON1-GTF2A1L	LINC01510	
																	MIR520D											FAM201B	LOC100996437	
																	MIR517B											SPOPL	LOC100996654	
																	MIR520G											MLK7-AS1	C7orf55-LUC7L2	
																	MIR516B2											CYP27C1	LOC101409256	
																	MIR526A2											MROH2A	EVX1-AS	
																	MIR518E											ESPNL	STAG3L5P	
																	MIR518A1											C2orf70	PVRIG2P	
																	MIR518D											PRR30	STAG3L5P-PVRIG2P-PILRB	
																	MIR516B1											LINC00298	LOC101926943	
																	MIR518A2											LINC00299	LOC101926963	
																	MIR517C											LOC339803	LOC101927000	
																	MIR520H											C2orf74	LOC101927021	
																	MIR521-1											LOC339807	ELFN1-AS1	
																	MIR522											LINC01115	GTF2IP7	
																	MIR519A1											MSGN1	LOC101927181	
																	MIR527											KIAA1211L	LOC101927243	
																	MIR516A1											FIGLA	LOC101927269	
																	MIR516A2											NOTO	LOC101927354	
																	MIR519A2											NCKAP5	LOC101927356	
																	KLKP1											FOXI3	LOC101927378	
																	LOC641367											EVX2	LOC101927391	
																	TMEM91											CDKL4	LOC101927420	
																	CCER2											PRORSD1P	LOC101927446	
																	SCGB1B2P											SH3RF3	LOC101927497	
																	LINC01529											GPR148	MEOX2-AS1	
																	SDHAF1											ECEL1P2	LOC101927550	
																	LOC644189											LRRTM1	LOC101927630	
																	LOC644554											GEN1	ZASP	
																	LOC645553											C2orf48	LOC101927668	
																	C19orf67											FTCDNL1	LOC101927746	
																	FAM90A27P											SPATA3-AS1	LOC101927769	
																	SBK2											PFN4	LOC101927811	
																	RNF225											FAM228B	LOC101927870	
																	UCA1											LOC375196	LOC101927914	
																	PSG10P											ANKRD36	LOC101928012	
																	LGALS7B											WASH2P	HRAT17	
																	PHLDB3											RBM43	LOC101928168	
																	SEC1P											LINC01116	LOC101928211	
																	ZNF826P											CERKL	LOC101928254	
																	HNRNPA1P10											CATIP	LOC101928283	
																	SNORD23											RBM44	LOC101928333	
																	SNORD88A											AQP12A	LOC101928401	
																	SNORD88B											ZC3H6	OR2A1-AS1	
																	SNORD88C											KLHL30	SEPT7-AS1	
																	SNORD105											RNF144A-AS1	LOC101928605	
																	PPAN-P2RY11											MFSD2B	LOC101928618	
																	MIR638											C2orf71	LOC101928700	
																	MIR639											LOC388942	LINC01450	
																	MIR640											TMEM247	LINC01449	
																	MIR641											LINC01118	LOC101928782	
																	MIR642A											TSPYL6	LINC01448	
																	MIR643											C2orf78	LOC101928807	
																	OVOL3											BOLA3	LOC101928861	
																	LOC728485											C2orf81	LINC01447	
																	LOC728752											FUNDC2P2	GTF2IP23	
																	CCDC61											C2orf68	LINC01372	
																	ZNF878											SLC9A4	LOC101929998	
																	CEACAM18											DPP10-AS1	LOC101930085	
																	SHISA7											LOC389033	RNU6-7	
																	LOC729966											LINC01120	RNU6-8	
																	RFPL4AL1											SP5	MIR6133	
																	LINC01530											PLEKHM3	MIR6509	
																	BORCS8											C2orf80	MIR6836	
																	ZNF814											RESP18	MIR6838	
																	ZNF726											C2orf82	MIR6839	
																	MIR769											OR6B2	MIR6892	
																	SIGLEC14											PTRHD1	MIR6874	
																	MIMT1											SULT6B1	MIR6132	
																	HAVCR1P1											DYTN	MIR6840	
																	SNORD105B											LOC400940	MIR6875	
																	ZGLP1											LINC00487	MIR6837	
																	MIR935											LINC01376	KCCAT333	
																	SNAR-G1											LINC00954	GHET1	
																	SNAR-F											C2orf91	LOC102723427	
																	SNAR-A1											LINC01121	LINC01445	
																	SNAR-A12											EML6	LOC102723672	
																	LINC01233											LINC01122	LOC102723885	
																	ZNF667-AS1											LINC01185	LOC102724094	
																	LOC100128398											LOC400958	LINC01393	
																	HPN-AS1											PCBP1-AS1	LOC102724434	
																	LINC01531											PAIP2B	LOC102724484	
																	LOC100129083											RGPD1	LOC102724555	
																	ZNF730											ANKRD36C	DPY19L1P2	
																	ZNF737											LOC400997	LOC102724738	
																	LOC100129935											FLJ42351	LOC102725191	
																	SCGB2B3P											NOC2LP2	ELDR	
																	TMEM221											TEX41	RNU6-2	
																	SBK3											HAGLR	LINC01287	
																	BSPH1											FSIP2	LINC01162	
																	MZF1-AS1											C2orf66	LINC01392	
																	KIR2DS2											ASB18	LOC105369146	
																	IPO5P1											FLJ43879	LOC105375115	
																	LOC100134317											VWC2L	LOC105375166	
																	PEG3-AS1											FLJ31356	LOC105375218	
																	SNAR-A3											MIR10B	LOC105375297	
																	SNAR-A5											MIR128-1	LOC105375304	
																	SNAR-A7											MIR149	LINC00972	
																	SNAR-A11											MIR153-1	LOC105375396	
																	SNAR-A4											MIR216A	LOC105375401	
																	SNAR-A6											MIR217	LOC105375429	
																	SNAR-A8											MIR26B	LVCAT5	
																	SNAR-A10											C2orf27B	LOC105375483	
																	SNAR-C2											DNAJB3	LOC105375504	
																	SNAR-C4											ASTL	LOC105375512	
																	SNAR-E											CAPN14	LOC105375545	
																	SNAR-B1											ACTR3BP2	LOC105375556	
																	SNAR-C1											LINC01123	LINC01022	
																	SNAR-C3											LOC440895	SCARNA28	
																	SNAR-D											LINC01191		
																	SNAR-G2											FAR2P1		
																	SRRM5											LOC440910		
																	ERICH4											POTEKP		
																	SNAR-A14											LINC01124		
																	ERVV-2											H3F3AP4		
																	MEF2B											LOC440934		
																	EML2-AS1											LOC442028		
																	ZNF729											SULT1C3		
																	LOC100289333											POTEE		
																	LOC100289650											COA5		
																	ZNF587B											PHOSPHO2		
																	MIR1470											CHAC2		
																	MIR1270											MIR375		
																	MIR1283-2											DFNB59		
																	MIR1181											MIR4435-2HG		
																	MIR1238											CCDC148-AS1		
																	MIR1323											ANKRD30BL		
																	MIR1283-1											FBXO48		
																	LOC100379224											SNORA41		
																	LOC100420587											FAM110C		
																	MIR3191											LOC643072		
																	MIR3188											LOC643387		
																	MIR3190											HCG2040054		
																	MIR320E											LOC644838		
																	MIR4322											GCC2-AS1		
																	MIR3189											GGT8P		
																	MIR4324											ANKRD36BP2		
																	MIR4323											LOC645949		
																	MIR642B											LINC00607		
																	PCAT19											LOC646736		
																	LOC100505585											LOC646743		
																	LOC100505622											CYP4F62P		
																	NAPA-AS1											ZNF806		
																	LOC100505715											PRSS56		
																	CARD8-AS1											YY1P2		
																	LINC01532											FAM228A		
																	PPP5D1											TRIM43B		
																	PTOV1-AS1											POTEI		
																	DACT3-AS1											CFC1B		
																	TMEM147-AS1											AQP12B		
																	LINC00665											RGPD3		
																	GFY											LOC653602		
																	ZNF865											POTEJ		
																	LOC100507373											MZT2A		
																	ZNF571-AS1											SNORA75		
																	THEG5											LOC654342		
																	ZNF816-ZNF321P											FAM138B		
																	MIA-RAB4B											PAX8-AS1		
																	RAB4B-EGLN2											LOC654841		
																	ZNF625-ZNF20											SCARNA6		
																	APOC4-APOC2											SCARNA5		
																	MIR4530											SNORD11		
																	MIR4754											SNORD70		
																	MIR4752											SNORD89		
																	MIR371B											SNORD92		
																	MIR4749											SNORD94		
																	MIR4750											MIR558		
																	MIR4531											MIR559		
																	MIR4748											MIR561		
																	MIR4751											MIR562		
																	LOC100631378											RGPD8		
																	LINC00904											LINC01249		
																	MIR5695											FAM133DP		
																	MIR5196											D2HGDH		
																	MIR5684											LOC728323		
																	MIR5088											POTEF		
